locus_tag	ftype	length_bp	gene	EC_number	COG	product
IFLAKNEJ_02901	CDS	1281				hypothetical protein
IFLAKNEJ_02902	CDS	1140	hcaT			putative 3-phenylpropionic acid transporter
IFLAKNEJ_02903	CDS	891	hcaR_2			Hca operon transcriptional activator HcaR
IFLAKNEJ_02904	CDS	1362	hcaE	1.14.12.19	COG4638	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha
IFLAKNEJ_02905	CDS	519	hcaF	1.14.12.19	COG5517	3-phenylpropionate/cinnamic acid dioxygenase subunit beta
IFLAKNEJ_02906	CDS	321	hcaC		COG2146	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit
IFLAKNEJ_02907	CDS	813	hcaB	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
IFLAKNEJ_02908	CDS	1203	hcaD	1.18.1.3	COG0446	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin--NAD(+) reductase component
IFLAKNEJ_02909	CDS	423	yphA		COG2259	Inner membrane protein YphA
IFLAKNEJ_02910	CDS	873	yphB_1		COG2017	putative protein YphB
IFLAKNEJ_02911	CDS	1062	gutB	1.1.1.-	COG1063	Sorbitol dehydrogenase
IFLAKNEJ_02912	CDS	999	rbsC_2		COG1172	Ribose import permease protein RbsC
IFLAKNEJ_02913	CDS	1512	mglA_2	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
IFLAKNEJ_02914	CDS	984	yphF		COG1879	ABC transporter periplasmic-binding protein YphF
IFLAKNEJ_02915	CDS	3282	lapB_1			Lipopolysaccharide assembly protein B
IFLAKNEJ_02916	CDS	1194	mlc_1		COG1940	Protein mlc
IFLAKNEJ_02917	CDS	1254	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
IFLAKNEJ_02918	CDS	1191	hmp	1.14.12.17	COG1017	Flavohemoprotein
IFLAKNEJ_02919	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II 1
IFLAKNEJ_02920	CDS	1335	qseF		COG2204	Transcriptional regulatory protein QseF
IFLAKNEJ_02921	CDS	714	qseG			Quorum-sensing regulator protein G
IFLAKNEJ_02922	CDS	1383	qseE	2.7.13.3		Sensor histidine kinase QseE
IFLAKNEJ_02923	CDS	3888	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
IFLAKNEJ_02924	CDS	1557	mltF	4.2.2.-	COG4623	Membrane-bound lytic murein transglycosylase F
IFLAKNEJ_02925	CDS	504	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
IFLAKNEJ_02926	CDS	636	pgpC	3.1.3.27	COG0560	Phosphatidylglycerophosphatase C
IFLAKNEJ_02927	CDS	849	murR_2		COG1737	HTH-type transcriptional regulator MurR
IFLAKNEJ_02928	CDS	261	yfhL		COG1145	Ferredoxin YfhL
IFLAKNEJ_02929	CDS	381	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
IFLAKNEJ_02930	CDS	732	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
IFLAKNEJ_02931	CDS	729	recO		COG1381	DNA repair protein RecO
IFLAKNEJ_02932	CDS	906	era_1		COG1159	GTPase Era
IFLAKNEJ_02933	CDS	681	rnc	3.1.26.3	COG0571	Ribonuclease 3
IFLAKNEJ_02934	CDS	975	lepB	3.4.21.89	COG0681	Signal peptidase I
IFLAKNEJ_02935	CDS	1800	lepA	3.6.5.-	COG0481	Elongation factor 4
IFLAKNEJ_02936	CDS	480	rseC		COG3086	Protein RseC
IFLAKNEJ_02937	CDS	957	rseB		COG3026	Sigma-E factor regulatory protein RseB
IFLAKNEJ_02938	CDS	651	rseA		COG3073	Anti-sigma-E factor RseA
IFLAKNEJ_02939	CDS	576	rpoE		COG1595	ECF RNA polymerase sigma-E factor
IFLAKNEJ_02940	CDS	1623	nadB	1.4.3.16	COG0029	L-aspartate oxidase
IFLAKNEJ_02941	CDS	738	yfiC	2.1.1.223	COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
IFLAKNEJ_02942	CDS	1335	srmB_1	3.6.4.13	COG0513	ATP-dependent RNA helicase SrmB
IFLAKNEJ_02943	CDS	882	cmpR			HTH-type transcriptional activator CmpR
IFLAKNEJ_02944	CDS	588	eamB		COG1280	Cysteine/O-acetylserine efflux protein
IFLAKNEJ_02945	CDS	384	grcA		COG3445	Autonomous glycyl radical cofactor
IFLAKNEJ_02946	CDS	690	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
IFLAKNEJ_02947	CDS	1038	yfiF	2.1.1.-	COG0566	putative tRNA/rRNA methyltransferase YfiF
IFLAKNEJ_02948	CDS	420	trxC	1.8.1.8	COG0526	Thioredoxin 2
IFLAKNEJ_02949	CDS	699				hypothetical protein
IFLAKNEJ_02950	CDS	2661	patZ	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase PatZ
IFLAKNEJ_02951	CDS	1356	pssA	2.7.8.8	COG1502	CDP-diacylglycerol--serine O-phosphatidyltransferase
IFLAKNEJ_02952	CDS	273				hypothetical protein
IFLAKNEJ_02953	CDS	1299	kgtP			Alpha-ketoglutarate permease
IFLAKNEJ_02954	rRNA	111				5S ribosomal RNA
IFLAKNEJ_02955	rRNA	2758				23S ribosomal RNA
IFLAKNEJ_02956	rRNA	1538				16S ribosomal RNA
IFLAKNEJ_02957	CDS	2574	clpB		COG0542	Chaperone protein ClpB
IFLAKNEJ_02958	CDS	732	yfiH	1.10.3.-	COG1496	Polyphenol oxidase
IFLAKNEJ_02959	CDS	981	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
IFLAKNEJ_02960	CDS	738	bamD		COG4105	Outer membrane protein assembly factor BamD
IFLAKNEJ_02961	CDS	342	raiA		COG1544	Ribosome-associated inhibitor A
IFLAKNEJ_02962	CDS	1161	pheA		COG0077	Bifunctional chorismate mutase/prephenate dehydratase
IFLAKNEJ_02963	CDS	1122	tyrA		COG0287	T-protein
IFLAKNEJ_02964	CDS	1071	aroF	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive
IFLAKNEJ_02965	CDS	363				hypothetical protein
IFLAKNEJ_02966	CDS	519				hypothetical protein
IFLAKNEJ_02967	CDS	1227	dgcN	2.7.7.65	COG2199	Diguanylate cyclase DgcN
IFLAKNEJ_02968	CDS	483	pal_2			Peptidoglycan-associated lipoprotein
IFLAKNEJ_02969	CDS	348	rplS		COG0335	50S ribosomal protein L19
IFLAKNEJ_02970	CDS	768	trmD	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
IFLAKNEJ_02971	CDS	549	rimM		COG0806	Ribosome maturation factor RimM
IFLAKNEJ_02972	CDS	249	rpsP		COG0228	30S ribosomal protein S16
IFLAKNEJ_02973	CDS	1362	ffh		COG0541	Signal recognition particle protein
IFLAKNEJ_02974	CDS	867	ypjD		COG4137	Inner membrane protein YpjD
IFLAKNEJ_02975	CDS	1242				hypothetical protein
IFLAKNEJ_02976	CDS	594	grpE		COG0576	Protein GrpE
IFLAKNEJ_02977	CDS	879	nadK	2.7.1.23	COG0061	NAD kinase
IFLAKNEJ_02978	CDS	1662	recN		COG0497	DNA repair protein RecN
IFLAKNEJ_02979	CDS	342	bamE		COG2913	Outer membrane protein assembly factor BamE
IFLAKNEJ_02980	CDS	291				hypothetical protein
IFLAKNEJ_02981	CDS	477	ratA		COG2867	Ribosome association toxin RatA
IFLAKNEJ_02982	CDS	483	smpB		COG0691	SsrA-binding protein
IFLAKNEJ_02983	CDS	126				hypothetical protein
IFLAKNEJ_02984	tmRNA	363	ssrA			transfer-messenger RNA, SsrA
IFLAKNEJ_02985	CDS	1242	intA_2		COG0582	Prophage integrase IntA
IFLAKNEJ_02986	CDS	3747				hypothetical protein
IFLAKNEJ_02987	CDS	3852				hypothetical protein
IFLAKNEJ_02988	CDS	747				hypothetical protein
IFLAKNEJ_02989	CDS	180				hypothetical protein
IFLAKNEJ_02990	CDS	882				hypothetical protein
IFLAKNEJ_02991	CDS	240				hypothetical protein
IFLAKNEJ_02992	CDS	123				hypothetical protein
IFLAKNEJ_02993	CDS	300	era_2			GTPase Era
IFLAKNEJ_02994	CDS	312				hypothetical protein
IFLAKNEJ_02995	CDS	747				IS3 family transposase ISCfr6
IFLAKNEJ_02996	CDS	471				hypothetical protein
IFLAKNEJ_02997	CDS	690				hypothetical protein
IFLAKNEJ_02998	CDS	483				hypothetical protein
IFLAKNEJ_02999	tRNA	76				tRNA-Met(cat)
IFLAKNEJ_03000	CDS	1647				hypothetical protein
IFLAKNEJ_03001	CDS	978	glaH	1.14.11.-		Glutarate 2-hydroxylase
IFLAKNEJ_03002	CDS	1269	lhgD	1.1.5.-	COG0579	L-2-hydroxyglutarate dehydrogenase
IFLAKNEJ_03003	CDS	1449	gabD	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD
IFLAKNEJ_03004	CDS	1281	gabT	2.6.1.19	COG0160	4-aminobutyrate aminotransferase GabT
IFLAKNEJ_03005	CDS	1401	gabP		COG1113	GABA permease
IFLAKNEJ_03006	CDS	663	glaR		COG1802	HTH-type transcriptional repressor GlaR
IFLAKNEJ_03007	CDS	450	kbp		COG1652	Potassium binding protein Kbp
IFLAKNEJ_03008	CDS	159				hypothetical protein
IFLAKNEJ_03009	CDS	300	ygaV		COG0640	putative HTH-type transcriptional regulator YgaV
IFLAKNEJ_03010	CDS	525	ygaP		COG0607	Inner membrane protein YgaP
IFLAKNEJ_03011	CDS	405	stpA		COG2916	DNA-binding protein StpA
IFLAKNEJ_03012	CDS	450	alaE			L-alanine exporter AlaE
IFLAKNEJ_03013	CDS	345				hypothetical protein
IFLAKNEJ_03014	CDS	330	ygaM		COG4575	putative protein YgaM
IFLAKNEJ_03015	CDS	246	nrdH		COG0695	Glutaredoxin-like protein NrdH
IFLAKNEJ_03016	CDS	411	nrdI		COG1780	Protein NrdI
IFLAKNEJ_03017	CDS	2145	nrdE	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 2 subunit alpha
IFLAKNEJ_03018	CDS	960	nrdF	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 2 subunit beta
IFLAKNEJ_03019	CDS	1203	proV		COG4175	Glycine betaine/proline betaine transport system ATP-binding protein ProV
IFLAKNEJ_03020	CDS	1065	proW		COG4176	Glycine betaine/proline betaine transport system permease protein ProW
IFLAKNEJ_03021	CDS	993	proX		COG2113	Glycine betaine/proline betaine-binding periplasmic protein
IFLAKNEJ_03022	CDS	1185				putative transporter
IFLAKNEJ_03023	CDS	738	ygaZ		COG1296	Inner membrane protein YgaZ
IFLAKNEJ_03024	CDS	336				hypothetical protein
IFLAKNEJ_03025	CDS	531	mprA		COG1846	Transcriptional repressor MprA
IFLAKNEJ_03026	CDS	1173	emrA		COG1566	Multidrug export protein EmrA
IFLAKNEJ_03027	CDS	1539	emrB			Multidrug export protein EmrB
IFLAKNEJ_03028	CDS	516	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
IFLAKNEJ_03029	CDS	1557	gshA	6.3.2.2	COG2918	Glutamate--cysteine ligase
IFLAKNEJ_03030	CDS	429	yqaA		COG1238	Inner membrane protein YqaA
IFLAKNEJ_03031	CDS	567	yqaB	3.1.3.-	COG0637	Fructose-1-phosphate phosphatase YqaB
IFLAKNEJ_03032	tRNA	77				tRNA-Arg(acg)
IFLAKNEJ_03033	tRNA	93				tRNA-Ser(gct)
IFLAKNEJ_03034	CDS	186	csrA		COG1551	Carbon storage regulator
IFLAKNEJ_03035	CDS	2631	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
IFLAKNEJ_03036	CDS	501	recX		COG2137	Regulatory protein RecX
IFLAKNEJ_03037	CDS	1062	recA		COG0468	Protein RecA
IFLAKNEJ_03038	CDS	498	pncC_2	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
IFLAKNEJ_03039	CDS	1191	mltB	4.2.2.-	COG2951	Membrane-bound lytic murein transglycosylase B
IFLAKNEJ_03040	CDS	564	srlA		COG3730	PTS system glucitol/sorbitol-specific EIIC component
IFLAKNEJ_03041	CDS	960	srlE	2.7.1.198	COG3732	PTS system glucitol/sorbitol-specific EIIB component
IFLAKNEJ_03042	CDS	372	srlB		COG3731	PTS system glucitol/sorbitol-specific EIIA component
IFLAKNEJ_03043	CDS	780	srlD	1.1.1.140	COG1028	Sorbitol-6-phosphate 2-dehydrogenase
IFLAKNEJ_03044	CDS	360				hypothetical protein
IFLAKNEJ_03045	CDS	774	srlR_3		COG1349	Glucitol operon repressor
IFLAKNEJ_03046	CDS	966	gutQ	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase GutQ
IFLAKNEJ_03047	CDS	1515	norR_2		COG3604	Anaerobic nitric oxide reductase transcription regulator NorR
IFLAKNEJ_03048	CDS	1440	norV		COG0426	Anaerobic nitric oxide reductase flavorubredoxin
IFLAKNEJ_03049	CDS	1134	norW	1.18.1.-	COG1251	Nitric oxide reductase FlRd-NAD(+) reductase
IFLAKNEJ_03050	CDS	2253	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF
IFLAKNEJ_03051	CDS	528	hyfA_2	1.-.-.-	COG1142	Hydrogenase-4 component A
IFLAKNEJ_03052	CDS	1014	ascG		COG1609	HTH-type transcriptional regulator AscG
IFLAKNEJ_03053	CDS	1458	bglF_1		COG1263	PTS system beta-glucoside-specific EIIBCA component
IFLAKNEJ_03054	CDS	1425	bglH_1	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
IFLAKNEJ_03055	CDS	981				IS110 family transposase IS621
IFLAKNEJ_03056	CDS	420	higA_2		COG5499	Antitoxin HigA
IFLAKNEJ_03057	CDS	774				hypothetical protein
IFLAKNEJ_03058	CDS	471	hycI	3.4.23.51	COG0680	Hydrogenase 3 maturation protease
IFLAKNEJ_03059	CDS	411				hypothetical protein
IFLAKNEJ_03060	CDS	768	hycG_2		COG3260	Formate hydrogenlyase subunit 7
IFLAKNEJ_03061	CDS	543	ndhI_2	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
IFLAKNEJ_03062	CDS	1710	hycE		COG3261	Formate hydrogenlyase subunit 5
IFLAKNEJ_03063	CDS	924	hycD		COG0650	Formate hydrogenlyase subunit 4
IFLAKNEJ_03064	CDS	1827	ndhB_3	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
IFLAKNEJ_03065	CDS	612	hyfA_3	1.-.-.-	COG1142	Hydrogenase-4 component A
IFLAKNEJ_03066	CDS	462	hycA			Formate hydrogenlyase regulatory protein HycA
IFLAKNEJ_03067	CDS	351	hypA		COG0375	Hydrogenase maturation factor HypA
IFLAKNEJ_03068	CDS	873	hypB		COG0378	Hydrogenase maturation factor HypB
IFLAKNEJ_03069	CDS	273	hypC		COG0298	Hydrogenase maturation factor HypC
IFLAKNEJ_03070	CDS	1122	hypD		COG0409	Hydrogenase maturation factor HypD
IFLAKNEJ_03071	CDS	1011	hypE	4.2.1.-	COG0309	Carbamoyl dehydratase HypE
IFLAKNEJ_03072	CDS	2079	fhlA		COG3604	Formate hydrogenlyase transcriptional activator FhlA
IFLAKNEJ_03073	CDS	354				hypothetical protein
IFLAKNEJ_03074	CDS	180				hypothetical protein
IFLAKNEJ_03075	CDS	2562	mutS		COG0249	DNA mismatch repair protein MutS
IFLAKNEJ_03076	CDS	657	pphB	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 2
IFLAKNEJ_03077	CDS	768	srlR_4		COG1349	Glucitol operon repressor
IFLAKNEJ_03078	CDS	909	ltnD	1.1.1.411		L-threonate dehydrogenase
IFLAKNEJ_03079	CDS	1263	otnK	2.7.1.217	COG3395	3-oxo-tetronate kinase
IFLAKNEJ_03080	CDS	639	otnC	4.1.1.104		3-oxo-tetronate 4-phosphate decarboxylase
IFLAKNEJ_03081	CDS	777	otnI	5.3.1.35	COG3622	2-oxo-tetronate isomerase
IFLAKNEJ_03082	CDS	1365	ygbN		COG2610	Inner membrane permease YgbN
IFLAKNEJ_03083	CDS	237	vdcD			Protein VdcD
IFLAKNEJ_03084	CDS	1428	edcC	4.1.1.61	COG0043	Phenolic acid decarboxylase
IFLAKNEJ_03085	CDS	594	ecdB	2.5.1.129	COG0163	putative UbiX-like flavin prenyltransferase
IFLAKNEJ_03086	CDS	408	hosA			Transcriptional regulator HosA
IFLAKNEJ_03087	CDS	993	rpoS		COG0568	RNA polymerase sigma factor RpoS
IFLAKNEJ_03088	CDS	1140	nlpD_1		COG0739	Murein hydrolase activator NlpD
IFLAKNEJ_03089	CDS	627	pcm	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
IFLAKNEJ_03090	CDS	762	surE	3.1.3.5	COG0496	5'/3'-nucleotidase SurE
IFLAKNEJ_03091	CDS	1050	truD	5.4.99.27	COG0585	tRNA pseudouridine synthase D
IFLAKNEJ_03092	CDS	480	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
IFLAKNEJ_03093	CDS	711	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
IFLAKNEJ_03094	CDS	312	ftsB		COG2919	Cell division protein FtsB
IFLAKNEJ_03095	CDS	324	ygbE			Inner membrane protein YgbE
IFLAKNEJ_03096	CDS	606	cysC	2.7.1.25	COG0529	Adenylyl-sulfate kinase
IFLAKNEJ_03097	CDS	1428	cysN	2.7.7.4	COG2895	Sulfate adenylyltransferase subunit 1
IFLAKNEJ_03098	CDS	909	cysD	2.7.7.4	COG0175	Sulfate adenylyltransferase subunit 2
IFLAKNEJ_03099	CDS	1038				hypothetical protein
IFLAKNEJ_03100	CDS	294	ygbF	3.1.-.-		CRISPR-associated endoribonuclease Cas2
IFLAKNEJ_03101	CDS	921	ygbT	3.1.-.-	COG1518	CRISPR-associated endonuclease Cas1
IFLAKNEJ_03102	CDS	651	casE	3.1.-.-		CRISPR system Cascade subunit CasE
IFLAKNEJ_03103	CDS	747				hypothetical protein
IFLAKNEJ_03104	CDS	1056	casC			CRISPR system Cascade subunit CasC
IFLAKNEJ_03105	CDS	537				hypothetical protein
IFLAKNEJ_03106	CDS	1563	casA			CRISPR system Cascade subunit CasA
IFLAKNEJ_03107	CDS	2700	ygcB	3.1.-.-	COG1203	CRISPR-associated endonuclease/helicase Cas3
IFLAKNEJ_03108	CDS	141				hypothetical protein
IFLAKNEJ_03109	CDS	1113			COG3385	IS4 family transposase IS421
IFLAKNEJ_03110	CDS	153	hokE_2			Toxic protein HokE
IFLAKNEJ_03111	CDS	735	cysH_2	1.8.4.8	COG0175	Phosphoadenosine phosphosulfate reductase
IFLAKNEJ_03112	CDS	1713	cysI	1.8.1.2	COG0155	Sulfite reductase [NADPH] hemoprotein beta-component
IFLAKNEJ_03113	CDS	1800	cysJ	1.8.1.2	COG0369	Sulfite reductase [NADPH] flavoprotein alpha-component
IFLAKNEJ_03114	CDS	366	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
IFLAKNEJ_03115	CDS	1272		1.5.5.1	COG0644	Electron transfer flavoprotein-ubiquinone oxidoreductase
IFLAKNEJ_03116	CDS	261	fixX_2		COG2440	Ferredoxin-like protein FixX
IFLAKNEJ_03117	CDS	576	ygcP		COG1954	putative protein YgcP
IFLAKNEJ_03118	CDS	861	fixB_2			Protein FixB
IFLAKNEJ_03119	CDS	780				hypothetical protein
IFLAKNEJ_03120	CDS	1410	ygcS_2			Inner membrane metabolite transport protein YgcS
IFLAKNEJ_03121	CDS	1455				hypothetical protein
IFLAKNEJ_03122	CDS	786	kduD_1	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
IFLAKNEJ_03123	CDS	1278	yqcE			Inner membrane protein YqcE
IFLAKNEJ_03124	CDS	1479	lsrK_1	2.7.1.189	COG1070	Autoinducer-2 kinase
	repeat_region	822				
IFLAKNEJ_03125	CDS	672	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
IFLAKNEJ_03126	CDS	141	yqcG			putative protein YqcG
IFLAKNEJ_03127	CDS	705				hypothetical protein
IFLAKNEJ_03128	CDS	1299	eno	4.2.1.11	COG0148	Enolase
IFLAKNEJ_03129	CDS	1638	pyrG	6.3.4.2	COG0504	CTP synthase
IFLAKNEJ_03130	CDS	792	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
IFLAKNEJ_03131	CDS	336	mazF	3.1.27.-	COG2337	Endoribonuclease toxin MazF
IFLAKNEJ_03132	CDS	249	mazE		COG2336	Antitoxin MazE
IFLAKNEJ_03133	CDS	2235	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
IFLAKNEJ_03134	CDS	1302	rlmD	2.1.1.190	COG2265	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
IFLAKNEJ_03135	CDS	2757	barA	2.7.13.3	COG0784	Signal transduction histidine-protein kinase BarA
IFLAKNEJ_03136	CDS	1341	gudD	4.2.1.40	COG4948	Glucarate dehydratase
IFLAKNEJ_03137	CDS	987	gudX_1	4.2.1.-	COG4948	Glucarate dehydratase-related protein
IFLAKNEJ_03138	CDS	348	gudX_2	4.2.1.-	COG4948	Glucarate dehydratase-related protein
IFLAKNEJ_03139	CDS	1353	gudP			putative glucarate transporter
IFLAKNEJ_03140	CDS	450			COG0716	putative protein
IFLAKNEJ_03141	CDS	408	truC_1	5.4.99.26	COG0564	tRNA pseudouridine synthase C
IFLAKNEJ_03142	CDS	321	truC_2	5.4.99.26	COG0564	tRNA pseudouridine synthase C
IFLAKNEJ_03143	CDS	330	yqcC		COG3098	putative protein YqcC
IFLAKNEJ_03144	CDS	546	syd			Protein Syd
IFLAKNEJ_03145	CDS	849	queF	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
IFLAKNEJ_03146	CDS	1365	ppnN	3.2.2.-	COG1611	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase
IFLAKNEJ_03147	CDS	1290	sdaC		COG0814	Serine transporter
IFLAKNEJ_03148	CDS	1368	sdaB	4.3.1.17	COG1760	L-serine dehydratase 2
IFLAKNEJ_03149	CDS	846	ygdG	3.1.-.-	COG0258	Flap endonuclease Xni
IFLAKNEJ_03150	CDS	1149	fucO	1.1.1.77	COG1454	Lactaldehyde reductase
IFLAKNEJ_03151	CDS	648	fucA	4.1.2.17	COG0235	L-fuculose phosphate aldolase
IFLAKNEJ_03152	CDS	1317	fucP_2		COG0738	L-fucose-proton symporter
IFLAKNEJ_03153	CDS	1776	fucI	5.3.1.25	COG2407	L-fucose isomerase
IFLAKNEJ_03154	CDS	1419	fucK	2.7.1.51	COG1070	L-fuculokinase
IFLAKNEJ_03155	CDS	423	fucU	5.1.3.29	COG4154	L-fucose mutarotase
IFLAKNEJ_03156	CDS	732	ydjF_1		COG1349	putative HTH-type transcriptional regulator YdjF
IFLAKNEJ_03157	CDS	1101	rlmM	2.1.1.186	COG2933	Ribosomal RNA large subunit methyltransferase M
IFLAKNEJ_03158	CDS	396				hypothetical protein
IFLAKNEJ_03159	CDS	918	gcvA			Glycine cleavage system transcriptional activator
IFLAKNEJ_03160	CDS	228	ygdR_1			putative lipoprotein YgdR
IFLAKNEJ_03161	CDS	1206	csdA	2.8.1.7	COG0520	Cysteine desulfurase CsdA
IFLAKNEJ_03162	CDS	444	csdE		COG2166	Sulfur acceptor protein CsdE
IFLAKNEJ_03163	CDS	807	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
IFLAKNEJ_03164	CDS	1098	mltA	4.2.2.-	COG2821	Membrane-bound lytic murein transglycosylase A
IFLAKNEJ_03165	tRNA	77				tRNA-Met(cat)
IFLAKNEJ_03166	CDS	1254	amiC	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiC
IFLAKNEJ_03167	CDS	1332	argA	2.3.1.1	COG0548	Amino-acid acetyltransferase
IFLAKNEJ_03168	CDS	1827	recD_2	3.1.11.5	COG0507	RecBCD enzyme subunit RecD
IFLAKNEJ_03169	CDS	3543	recB	3.1.11.5	COG1074	RecBCD enzyme subunit RecB
IFLAKNEJ_03170	CDS	2889	ptrA	3.4.24.55	COG1025	Protease 3
IFLAKNEJ_03171	CDS	3369	recC	3.1.11.5	COG1330	RecBCD enzyme subunit RecC
IFLAKNEJ_03172	CDS	324				hypothetical protein
IFLAKNEJ_03173	CDS	408				hypothetical protein
IFLAKNEJ_03174	CDS	564				hypothetical protein
IFLAKNEJ_03175	CDS	471				hypothetical protein
IFLAKNEJ_03176	CDS	795	thyA	2.1.1.45	COG0207	Thymidylate synthase
IFLAKNEJ_03177	CDS	876	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
IFLAKNEJ_03178	CDS	2247	ptsP	2.7.3.9	COG3605	Phosphoenolpyruvate-dependent phosphotransferase system
IFLAKNEJ_03179	CDS	531	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
IFLAKNEJ_03180	CDS	147				hypothetical protein
IFLAKNEJ_03181	CDS	690	mutH		COG3066	DNA mismatch repair protein MutH
IFLAKNEJ_03182	CDS	714				hypothetical protein
IFLAKNEJ_03183	CDS	219	ygdR_2			putative lipoprotein YgdR
IFLAKNEJ_03184	CDS	1041	tas		COG0667	Protein tas
IFLAKNEJ_03185	CDS	1194	lplT			Lysophospholipid transporter LplT
IFLAKNEJ_03186	CDS	2160	aas		COG0204	Bifunctional protein Aas
IFLAKNEJ_03187	CDS	1032	galR		COG1609	HTH-type transcriptional regulator GalR
IFLAKNEJ_03188	CDS	1263	lysA	4.1.1.20		Diaminopimelate decarboxylase
IFLAKNEJ_03189	CDS	936	occR			Octopine catabolism/uptake operon regulatory protein OccR
IFLAKNEJ_03190	CDS	693	ygeA	5.1.1.13		L-aspartate/glutamate-specific racemase
IFLAKNEJ_03191	CDS	1419	araE			Arabinose-proton symporter
IFLAKNEJ_03192	CDS	762	kduD_2	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
IFLAKNEJ_03193	CDS	837	kduI	5.3.1.17	COG3717	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
IFLAKNEJ_03194	CDS	1182	thlA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
IFLAKNEJ_03195	CDS	1230	yqeG		COG0814	Inner membrane transport protein YqeG
IFLAKNEJ_03196	CDS	633				hypothetical protein
IFLAKNEJ_03197	CDS	132				hypothetical protein
IFLAKNEJ_03198	CDS	810				hypothetical protein
IFLAKNEJ_03199	CDS	483				hypothetical protein
IFLAKNEJ_03200	CDS	141				hypothetical protein
IFLAKNEJ_03201	CDS	426				hypothetical protein
IFLAKNEJ_03202	CDS	438				hypothetical protein
IFLAKNEJ_03203	CDS	492	sicA		COG0457	Chaperone protein SicA
IFLAKNEJ_03204	CDS	1377	hilA		COG0457	Transcriptional regulator HilA
IFLAKNEJ_03205	CDS	219				hypothetical protein
IFLAKNEJ_03206	CDS	375				hypothetical protein
IFLAKNEJ_03207	CDS	444	ygeK			putative response regulatory protein YgeK
IFLAKNEJ_03208	CDS	156				hypothetical protein
IFLAKNEJ_03209	CDS	432				hypothetical protein
IFLAKNEJ_03210	CDS	582	orgA			Oxygen-regulated invasion protein OrgA
IFLAKNEJ_03211	CDS	735	prgK		COG4669	Lipoprotein PrgK
IFLAKNEJ_03212	CDS	165				hypothetical protein
IFLAKNEJ_03213	CDS	156				hypothetical protein
IFLAKNEJ_03214	CDS	1182	prgH			Protein PrgH
IFLAKNEJ_03215	CDS	501				hypothetical protein
IFLAKNEJ_03216	CDS	294				hypothetical protein
